5,2
1,10,10
0.01,0.0
123
10000
32
0,0,0,0,0,0,0
1,0,0,0,0,0,1
2,0,0,0,0,1,0
3,0,0,0,0,1,1
4,0,0,0,1,0,0
5,0,0,0,1,0,1
6,0,0,0,1,1,0
7,0,0,0,1,1,1
8,0,0,1,0,0,0
9,0,0,1,0,0,1
10,0,0,1,0,1,0
11,0,0,1,0,1,1
12,0,0,1,1,0,0
13,0,0,1,1,0,1
14,0,0,1,1,1,0
15,1,0,1,1,1,1
16,0,1,0,0,0,0
17,0,1,0,0,0,1
18,0,1,0,0,1,0
19,0,1,0,0,1,1
20,0,1,0,1,0,0
21,0,1,0,1,0,1
22,0,1,0,1,1,0
23,1,1,0,1,1,1
24,0,1,1,0,0,0
25,0,1,1,0,0,1
26,0,1,1,0,1,0
27,1,1,1,0,1,1
28,0,1,1,1,0,0
29,1,1,1,1,0,1
30,1,1,1,1,1,0
31,0,1,1,1,1,1
False, 5
100
10
