5,2
1,10
0.001,0.0
123
1000
32
0,0,0,0,0,0,0
1,0,0,0,0,0,1
2,0,0,0,0,1,0
3,0,0,0,0,1,1
4,0,0,0,1,0,0
5,0,0,0,1,0,1
6,0,0,0,1,1,0
7,1,0,0,1,1,1
8,0,0,1,0,0,0
9,0,0,1,0,0,1
10,0,0,1,0,1,0
11,1,0,1,0,1,1
12,0,0,1,1,0,0
13,1,0,1,1,0,1
14,1,0,1,1,1,0
15,0,0,1,1,1,1
16,0,1,0,0,0,0
17,0,1,0,0,0,1
18,0,1,0,0,1,0
19,1,1,0,0,1,1
20,0,1,0,1,0,0
21,1,1,0,1,0,1
22,1,1,0,1,1,0
23,0,1,0,1,1,1
24,0,1,1,0,0,0
25,1,1,1,0,0,1
26,1,1,1,0,1,0
27,0,1,1,0,1,1
28,1,1,1,1,0,0
29,0,1,1,1,0,1
30,0,1,1,1,1,0
31,0,1,1,1,1,1
True, 5, .7
100
10
